Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Fall,Heinz College,AEM,93703,ARTS ENT: MGT & STR,Graduate,8.23,4.73,4.15,4.54,4.35,4.73,4.27,4.77,4.42,4.31
Fall,Heinz College,AEM,93809,PUBLIC ART,Graduate,6.2,5,4.9,5,4.9,5,4.9,5,5,5
Fall,Heinz College,AEM,93813,ARTS FACILITIES MNGT,Graduate,3.2,4.5,4.2,4,3.9,4.7,4.5,4.5,4.3,4.4
Fall,Heinz College,AEM,93828,ADV TPCS FUNDRAISING,Graduate,6.09,4.27,3.55,4.09,3.55,4.55,4,4.73,4,4
Fall,Heinz College,AEM,93830,DISRPT TECH ARTS ENT,Graduate,4.14,4.79,4.43,4.57,4.43,4.79,4.5,4.79,4.64,4.29
Fall,Heinz College,AEM,93831,LAW AND THE ARTS,Graduate,10.44,4.2,4.16,4.28,3.4,4.56,4.08,4.04,3.88,3.92
Fall,Heinz College,AEM,93861,SCRIPT/STORY ANALYSS,Graduate,5.33,4.72,4.39,4.61,4.56,4.78,4.39,4.83,4.39,4.39
Summer, College of Fine Arts,ARC,48000,PRE COLLEGE PROGRAM,Undergraduate,26.77,4.77,4.77,4.69,4.85,4.77,4.77,4.85,4.92,4.62
Fall, College of Fine Arts,ARC,48025,FRST YR SEM:ARCH EDT,Undergraduate,3.92,3.96,3.96,3.83,3.38,3.71,3.46,4.42,3.67,3.21
Spring, College of Fine Arts,ARC,48026,FRST YR SEM:ARCH ED,Undergraduate,3.13,3.81,3.75,3.56,3.38,3.56,3.63,4,3.5,3.38
Fall, College of Fine Arts,ARC,48095,SPTL CNCP NON-ARCTSI,Undergraduate,11,4.75,3.63,3.75,4.25,4.38,4.25,4.88,4.25,4.25
Fall, College of Fine Arts,ARC,48100,ARCH DESIGN STUDIO,Undergraduate,23.5,3.78,2.59,2.63,3.15,3.3,3,4,3.07,3.3
Spring, College of Fine Arts,ARC,48105,ARC DSGN STU: FDT II,Undergraduate,24.32,4.14,4.32,4.29,4.21,4.21,4.29,3.96,4.11,4.29
Fall, College of Fine Arts,ARC,48116,BUILDING PHYSICS,Undergraduate,6.74,3.32,3.32,2.83,2.22,2.44,2.42,3.89,2.11,1.84
Fall, College of Fine Arts,ARC,48200,ARCH DES STDIO COMP,Undergraduate,24.58,3.69,3.31,3.36,3.24,3.56,3.31,3.69,3.18,3.33
Spring, College of Fine Arts,ARC,48205,ARC DSGN STU: EL II,Undergraduate,25.24,4.34,4.16,4.26,4.29,4.53,4.32,4.51,4.39,4.55
Fall, College of Fine Arts,ARC,48215,MATERIALS & ASSEMBLY,Undergraduate,9.69,4.56,4.56,4.69,4,4.75,4.63,3.88,4.56,4.38
Fall, College of Fine Arts,ARC,48233,BIOFORM,Undergraduate,9.5,4.5,2.88,3.63,3.5,4.13,3.38,4.25,3.63,3.5
Spring, College of Fine Arts,ARC,48240,HIS SRVY WLD ARC URB,Undergraduate,6.03,4.42,4.32,4.38,4.05,4.64,4.36,4.47,4.36,4.22
Spring, College of Fine Arts,ARC,48241,MOD ARCH,Undergraduate,10.13,4.29,4.29,4.17,3,4.29,4.29,4.29,4.04,3.92
Fall, College of Fine Arts,ARC,48250,CSE STD ARC CIT,Undergraduate,8.4,4.07,3.4,3.47,3.07,3.87,3.73,4.27,3.73,3.4
Fall, College of Fine Arts,ARC,48300,ARCH DSGN STDIO INT,Undergraduate,23.38,4.46,4.15,4.08,4.23,4.23,4.46,4.69,4.31,4.08
Spring, College of Fine Arts,ARC,48305,ARC DSGN STU:INT II,Undergraduate,24.19,4.39,4.32,4.21,4.24,4.37,4.21,4.31,4.2,4.26
Spring, College of Fine Arts,ARC,48311,HIST OF ARC THEORY,Undergraduate,11,4.33,4.67,4.33,4.67,4.67,4.33,4.67,4.67,4.67
Fall, College of Fine Arts,ARC,48315,ENVIR I: CLIM & ENG,Undergraduate,9.95,4.58,3.79,4.05,4.21,4.68,4,4.68,4.11,3.89
Spring, College of Fine Arts,ARC,48324,STRU/STAT,Undergraduate,5.5,4.46,4.75,4.5,4.13,4.33,4.5,4.71,4.46,4.29
