Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Spring,Heinz College,AEM,93717,WRTG CREAT INDUS,Graduate,5.71,4,3.94,4.12,3.59,4.06,4,4.29,3.94,3.12
Spring,Heinz College,AEM,93732,DB THRY PRC CRTV ENT,Graduate,9.23,4.68,4.73,4.77,4.5,4.73,4.73,4.86,4.77,4.68
Spring,Heinz College,AEM,93804,ARTS IN EDUCATION,Graduate,6.8,4,4.4,4.4,4.4,4.6,4.4,4.6,4.2,4
Spring,Heinz College,AEM,93807,MUSEUM OPERATIONS,Graduate,7,4.92,4.67,4.67,4.67,4.75,4.5,5,4.5,4.17
Spring,Heinz College,AEM,93812,PRES PERF ART & FEST,Graduate,6.75,3.67,2.92,3.5,3.67,4.25,4,4.83,3.42,3.33
Spring,Heinz College,AEM,93815,AUD ENGAGEMNT & PART,Graduate,5.79,4.84,3.74,4.58,4.32,4.84,4.68,4.89,4.74,4.63
Spring,Heinz College,AEM,93821,EXT REL: ARTS MKT PR,Graduate,8.15,4.59,3.56,4.07,3.85,4.67,4.22,4.74,4.37,4.11
Spring,Heinz College,AEM,93826,EXT REL: FUN IND GIV,Graduate,5.78,4.22,3.78,3.87,3.52,4.26,3.87,4.61,3.74,3.65
Spring,Heinz College,AEM,93827,EXT REL: FUN INS GIV,Graduate,6.65,4.9,4.75,4.85,4.55,4.65,4.65,4.8,4.55,4.65
Spring,Heinz College,AEM,93844,LIVE MUS TOUR REV ST,Graduate,10.14,4.29,3.43,4,3.14,3.86,3.86,5,3.86,3.14
Spring,Heinz College,AEM,93846,CULTURAL PLCY ADVCY,Graduate,10.25,5,5,5,5,5,4.75,5,4.75,4.75
Spring, College of Fine Arts,ARC,48026,FRST YR SEM:ARCH ED,Undergraduate,4.43,4.29,4.29,4.33,3.71,4,3.95,4.48,3.9,3.67
Spring, College of Fine Arts,ARC,48105,ARC DSGN STU: FDT II,Undergraduate,24.47,4.28,4.14,4.14,4.16,4.33,4.15,3.97,4,4.11
Spring, College of Fine Arts,ARC,48205,ARC DSGN STU: EL II,Undergraduate,23.17,4.44,4.15,4,4.1,4.2,4.15,4.32,4.12,4.17
Spring, College of Fine Arts,ARC,48240,HIS SRVY WLD ARC URB,Undergraduate,6.67,4.71,4.53,4.51,3.93,4.6,4.49,4.84,4.58,4.4
Spring, College of Fine Arts,ARC,48241,MOD ARCH,Undergraduate,8.27,4,4.05,4.09,3.14,4.18,4,4.05,3.59,3.68
